CodigoParlamentar,CodigoPublicoNaLegAtual,NomeParlamentar,NomeCompletoParlamentar,SexoParlamentar,FormaTratamento,UrlFotoParlamentar,UrlPaginaParlamentar,EmailParlamentar,SiglaPartidoParlamentar,UfParlamentar,MembroMesa,MembroLideranca,NumeroTelefone,OrdemPublicacao,IndicadorFax,CodigoBloco,NomeBloco,NomeApelido,DataCriacao,CodigoMandato,UfParlamentar.1,DescricaoParticipacao,NumeroLegislatura,DataInicio,DataFim,NumeroLegislatura.1,DataInicio.1,DataFim.1,DescricaoParticipacao.1,CodigoParlamentar.1,NomeParlamentar.1,CodigoExercicio,DataInicio.2,DescricaoParticipacao.2,CodigoParlamentar.2,NomeParlamentar.2,DataFim.2,SiglaCausaAfastamento,DescricaoCausaAfastamento,UrlPaginaParticular,DataLeitura
742,813,Marcelo Castro,Marcelo Costa e Castro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador742.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/742,sen.marcelocastro@senado.leg.br,MDB,PI,Não,Sim,33034078.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,539.0,PI,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5910.0,José Hamilton,2923.0,2019-02-01,,,,,,,,
825,859,Paulo Paim,Paulo Renato Paim,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador825.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/825,sen.paulopaim@senado.leg.br,PT,RS,Não,Não,33035232.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,523.0,RS,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6017.0,Cleonice Back,2929.0,2019-02-01,,,,,,,http://www.senadorpaim.com.br/,
3777,872,Eduardo Gomes,Carlos Eduardo Torres Gomes,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3777.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3777,sen.eduardogomes@senado.leg.br,PL,TO,Não,Sim,33036349.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,568.0,TO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6005.0,Siqueira Campos,2998.0,2022-11-11,,,,2022-07-18,LCS,Licença com convocação de suplente (sup 120 dias),,2019-08-15
3806,836,Zequinha Marinho,José da Cruz Marinho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3806.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3806,sen.zequinhamarinho@senado.leg.br,PODEMOS,PA,Não,Não,33036623.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,566.0,PA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6001.0,Arlindo Silva,2916.0,2019-02-01,,,,,,,,
3830,834,Davi Alcolumbre,David Samuel Alcolumbre Tobelem,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador3830.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/3830,sen.davialcolumbre@senado.leg.br,UNIÃO,AP,Não,Sim,33036717.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,618.0,AP,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,5569.0,Josiel,3021.0,2023-02-01,,,,,,,,
4531,837,Jayme Campos,Jayme Veríssimo de Campos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4531.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4531,sen.jaymecampos@senado.leg.br,UNIÃO,MT,Não,Não,33032390.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,553.0,MT,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5740.0,Fabio Garcia,2987.0,2022-07-30,,,,2022-04-06,LCS,Licença com convocação de suplente (sup 120 dias),,
4560,850,Sérgio Petecão,Sérgio de Oliveira Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4560.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4560,sen.sergiopetecao@senado.leg.br,PSD,AC,Não,Não,33034086.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,520.0,AC,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5908.0,Maria das Vitórias,2997.0,2022-11-04,,,,2022-07-06,LCS,Licença com convocação de suplente (sup 120 dias),http://www.petecao.com.br/,
4639,877,Beto Faro,José Roberto Oliveira Faro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639,sen.betofaro@senado.leg.br,PT,PA,Não,Sim,33035220.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,604.0,PA,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6364.0,Josenir,3020.0,2023-02-01,,,,,,,,
4770,851,Izalci Lucas,Izalci Lucas Ferreira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4770.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4770,sen.izalcilucas@senado.leg.br,PL,DF,Não,Sim,33036049.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,552.0,DF,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5968.0,Luis Felipe Belmonte,2909.0,2019-02-01,,,,,,,,
4811,900,Laércio Oliveira,Laércio José de Oliveira,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4811.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4811,sen.laerciooliveira@senado.leg.br,PP,SE,Não,Sim,33031763.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,614.0,SE,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6383.0,Janier,3025.0,2023-02-01,,,,,,,https://www.laerciooliveira.com.br/,
4994,802,Eduardo Braga,Carlos Eduardo de Souza Braga,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4994.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/4994,sen.eduardobraga@senado.leg.br,MDB,AM,Não,Sim,33036230.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,521.0,AM,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5038.0,Sandra Braga,2893.0,2019-02-01,,,,,,,,
5008,824,Humberto Costa,Humberto Sérgio Costa Lima,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5008.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5008,sen.humbertocosta@senado.leg.br,PT,PE,Não,Não,33036285.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,525.0,PE,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5914.0,Waldemar Oliveira,2907.0,2019-02-01,,,,,,,http://www.senadorhumberto.com.br/,
5012,827,Randolfe Rodrigues,Randolph Frederich Rodrigues Alves,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5012.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5012,sen.randolferodrigues@senado.leg.br,S/Partido,AP,Não,Sim,33036777.0,1.0,Não,,,,,522.0,AP,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5923.0,Alberto David,2930.0,2019-02-01,,,,,,,https://www.facebook.com/randolferodrigues,
5070,870,Wilder Morais,Wilder Pedro de Morais,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5070.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5070,sen.wildermorais@senado.leg.br,PL,GO,Não,Não,33036440.0,2.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,601.0,GO,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6356.0,Izaura Cardoso,3023.0,2023-02-01,,,,,,,https://www.wildermorais.com.br/,
5322,840,Romário,Romario de Souza Faria,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5322.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5322,sen.romario@senado.leg.br,PL,RJ,Não,Não,33036519.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,620.0,RJ,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6372.0,Bruno Bonetti,3029.0,2023-02-01,,,,,,,http://romario.org/,
5352,830,Rogério Carvalho,Rogério Carvalho Santos,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5352.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5352,sen.rogeriocarvalho@senado.leg.br,PT,SE,Sim,Não,33032201.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,579.0,SE,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5993.0,Jorge Mitidieri,2933.0,2019-02-01,,,,,,,,
5376,847,Mara Gabrilli,Mara Cristina Gabrilli,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5376.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5376,sen.maragabrilli@senado.leg.br,PSD,SP,Sim,Não,33032191.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,569.0,SP,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,3651.0,Alfredo Cotait Neto,2922.0,2019-02-01,,,,,,,,
5385,883,Irajá,Irajá Silvestre Filho,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5385.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5385,sen.iraja@senado.leg.br,PSD,TO,Não,Não,33036469.0,2.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,567.0,TO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6287.0,Marcos de Souza Costa,2908.0,2019-02-01,,,,,,,,
5386,917,Professora Dorinha Seabra,Maria Auxiliadora Seabra Rezende,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5386.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5386,sen.professoradorinhaseabra@senado.leg.br,UNIÃO,TO,Não,Sim,33035990.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,615.0,TO,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6387.0,Professora Lu,3022.0,2023-02-01,,,,,,,,
5411,808,Weverton,Weverton Rocha Marques de Sousa,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5411.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5411,sen.wevertonrocha@senado.leg.br,PDT,MA,Sim,Sim,33034161.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,529.0,MA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5892.0,Roberth Bringel,2995.0,2022-11-04,,,,2022-07-06,LCS,Licença com convocação de suplente (sup 120 dias),,
5422,868,Marcos Rogério,Marcos Rogério da Silva Brito,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5422.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5422,sen.marcosrogerio@senado.leg.br,PL,RO,Não,Sim,33036148.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,576.0,RO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6021.0,Dr. Samuel Araújo,3042.0,2023-06-12,,,,2022-12-14,LCS,Licença com convocação de suplente (sup 120 dias),,
5502,801,Plínio Valério,Francisco Plínio Valério Tomaz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5502.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5502,sen.pliniovalerio@senado.leg.br,PSDB,AM,Não,Sim,33032898.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,573.0,AM,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,6013.0,Carlos Alberto,2906.0,2019-02-01,,,,,,,,
5523,831,Otto Alencar,Otto Roberto Mendonça de Alencar,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5523.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5523,sen.ottoalencar@senado.leg.br,PSD,BA,Não,Sim,33033172.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,622.0,BA,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6348.0,Terence Lessa,3030.0,2023-02-01,,,,,,,,
5525,803,Omar Aziz,Omar José Abdel Aziz,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5525.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5525,sen.omaraziz@senado.leg.br,PSD,AM,Não,Sim,33036579.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,619.0,AM,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6334.0,Cheila Moreira,3031.0,2023-02-01,,,,,,,,
5672,800,Alan Rick,Alan Rick Miranda,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5672.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5672,sen.alanrick@senado.leg.br,UNIÃO,AC,Não,Sim,33036333.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,596.0,AC,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6343.0,Gemil Junior,3028.0,2023-02-01,,,,,,,,
5718,806,Eliziane Gama,Eliziane Pereira Gama Melo,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5718.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5718,sen.elizianegama@senado.leg.br,PSD,MA,Não,Sim,33036741.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,542.0,MA,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,674.0,Pedro Fernandes,2900.0,2019-02-01,,,,,,,,
5732,844,Rodrigo Pacheco,Rodrigo Otavio Soares Pacheco,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5732.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5732,sen.rodrigopacheco@senado.leg.br,PSD,MG,Sim,Não,33032794.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,562.0,MG,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5257.0,Renzo Braz,2931.0,2019-02-01,,,,,,,,
5736,876,Tereza Cristina,Tereza Cristina Correa da Costa Dias,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5736.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5736,sen.terezacristina@senado.leg.br,PP,MS,Não,Sim,33032431.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,595.0,MS,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6332.0,Tenente Portela,3012.0,2023-02-01,,,,,,,https://terezacristinams.com.br/,
5748,821,Veneziano Vital do Rêgo,Veneziano Vital do Rêgo Segundo Neto,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5748.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5748,sen.venezianovitaldorego@senado.leg.br,MDB,PB,Sim,Não,33032252.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,564.0,PB,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,63.0,Ney Suassuna,2963.0,2021-01-22,,,,2020-09-23,LP ,Licença Particular,,
5783,818,Zenaide Maia,Zenaide Maia Calado Pereira dos Santos,Feminino,Senadora ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5783.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5783,sen.zenaidemaia@senado.leg.br,PSD,RN,Não,Sim,33032371.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,551.0,RN,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5965.0,Júnior Souto,2941.0,2019-02-01,,,,,,,https://zenaidesenadora.com.br/,
5793,893,Dr. Hiran,Hiran Manuel Gonçalves da Silva,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5793.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5793,sen.drhiran@senado.leg.br,PP,RR,Sim,Não,33036251.0,1.0,Não,346.0,Bloco Parlamentar Aliança,BLALIANÇA,2023-03-20,611.0,RR,Titular,57.0,2023-02-01,2027-01-31,58.0,2027-02-01,2031-01-31,1º Suplente,6378.0,Jr Rodrigues,3027.0,2023-02-01,,,,,,,,
5894,841,Flávio Bolsonaro,Flávio Nantes Bolsonaro,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5894.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5894,sen.flaviobolsonaro@senado.leg.br,PL,RJ,Não,Não,33031717.0,1.0,Não,338.0,Bloco Parlamentar Vanguarda,BLVANG,2023-02-01,532.0,RJ,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5901.0,Paulo Marinho,2904.0,2019-02-01,,,,,,,,
5895,863,Jorge Kajuru,Jorge Kajuru Reis da Costa Nasser,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5895.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5895,sen.jorgekajuru@senado.leg.br,PSB,GO,Não,Sim,33032844.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,533.0,GO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5896.0,Benjamin Beze Junior,2914.0,2019-02-01,,,,,,,,
5899,864,Vanderlan Cardoso,Vanderlan Vieira Cardoso,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5899.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5899,sen.vanderlancardoso@senado.leg.br,PSD,GO,Não,Não,33032092.0,1.0,Não,335.0,Bloco Parlamentar da Resistência Democrática,BLPRD,2023-02-01,538.0,GO,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,453.0,Pedro Chaves,2938.0,2019-02-01,,,,,,,,
5905,874,Rodrigo Cunha,Rodrigo Santos Cunha,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5905.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5905,sen.rodrigocunha@senado.leg.br,PODEMOS,AL,Sim,Sim,33036083.0,1.0,Não,353.0,Bloco Parlamentar Independência,BLIND,2024-04-09,537.0,AL,Titular,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,1º Suplente,5906.0,Dra. Eudócia,2991.0,2022-09-22,,,,2022-05-23,LCS,Licença com convocação de suplente (sup 120 dias),,
5917,923,Fernando Dueire,Fernando Antonio Caminha Dueire,Masculino,Senador ,http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5917.jpg,http://www25.senado.leg.br/web/senadores/senador/-/perfil/5917,sen.fernandodueire@senado.leg.br,MDB,PE,Não,Não,33033522.0,1.0,Não,336.0,Bloco Parlamentar Democracia,BLDEM,2023-02-03,526.0,PE,1º Suplente,56.0,2019-02-01,2023-01-31,57.0,2023-02-01,2027-01-31,2º Suplente,5918.0,Adilson Gomes,3058.0,2023-09-04,Titular,4545.0,Jarbas Vasconcelos,2023-09-04,RET,Retorno do titular,,
