CodigoParlamentar;CodigoPublicoNaLegAtual;NomeParlamentar;NomeCompletoParlamentar;SexoParlamentar;FormaTratamento;UrlFotoParlamentar;UrlPaginaParlamentar;EmailParlamentar;SiglaPartidoParlamentar;UfParlamentar;MembroMesa;MembroLideranca;NumeroTelefone;OrdemPublicacao;IndicadorFax;CodigoBloco;NomeBloco;NomeApelido;DataCriacao;CodigoMandato;UfParlamentar;DescricaoParticipacao;NumeroLegislatura;DataInicio;DataFim;NumeroLegislatura;DataInicio;DataFim;DescricaoParticipacao;CodigoParlamentar;NomeParlamentar;CodigoExercicio;DataInicio;DescricaoParticipacao;CodigoParlamentar;NomeParlamentar;DataFim;SiglaCausaAfastamento;DescricaoCausaAfastamento;UrlPaginaParticular;DataLeitura
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5837";"Davidson Magalhães";;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5056";"Silvia Nascimento Cardoso dos Santos Cerqueira";;;;;;;;;;
"5967";"832";"Angelo Coronel";"Angelo Mario Coronel de Azevedo Martins";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5967.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5967";"sen.angelocoronel@senado.leg.br";"PSD";"BA";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"554";"BA";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2889";"2019-02-01";;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";;;;;"33031177";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";;;;;"33031797";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"Não";"Sim";;;;"338";"Bloco Parlamentar Vanguarda";"BLVANG";"2023-02-01";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1º Suplente";"6385";"Professor Alberto";;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"Não";"Sim";;;;"338";"Bloco Parlamentar Vanguarda";"BLVANG";"2023-02-01";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6386";"Sirlange Manga";;;;;;;;;;
"6009";"902";"Astronauta Marcos Pontes";"Marcos Cesar Pontes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador6009.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/6009";"sen.astronautamarcospontes@senado.leg.br";"PL";"SP";"Não";"Sim";;;;"338";"Bloco Parlamentar Vanguarda";"BLVANG";"2023-02-01";"617";"SP";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3017";"2023-02-01";;;;;;;;
"4639";"877";"Beto Faro";"José Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"Não";"Sim";"33035220";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"1º Suplente";"6364";"Josenir";;;;;;;;;;
"4639";"877";"Beto Faro";"José Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"Não";"Sim";"33035220";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";"2º Suplente";"6365";"Leny Campêlo";;;;;;;;;;
"4639";"877";"Beto Faro";"José Roberto Oliveira Faro";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador4639.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/4639";"sen.betofaro@senado.leg.br";"PT";"PA";"Não";"Sim";"33035220";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"604";"PA";"Titular";"57";"2023-02-01";"2027-01-31";"58";"2027-02-01";"2031-01-31";;;;"3020";"2023-02-01";;;;;;;;
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"sen.carlosportinho@senado.leg.br";;;;;"33036640";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"https://carlosportinho.com.br/";
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"sen.carlosportinho@senado.leg.br";;;;;"33036613";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"https://carlosportinho.com.br/";
"5936";"949";"Carlos Portinho";"Carlos Francisco Portinho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5936.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5936";"sen.carlosportinho@senado.leg.br";"PL";"RJ";"Não";"Sim";;;;"338";"Bloco Parlamentar Vanguarda";"BLVANG";"2023-02-01";"545";"RJ";"1º Suplente";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5934";"Renata Guerra";"2959";"2020-11-03";"Titular";"751";"Arolde de Oliveira";;;;"https://carlosportinho.com.br/";
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";"sen.carlosviana@senado.leg.br";;;;;"33033100";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";"sen.carlosviana@senado.leg.br";;;;;"33033116";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";"sen.carlosviana@senado.leg.br";"PODEMOS";"MG";"Não";"Não";;;;"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5991";"Castellar Guimarães Neto";;;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";"sen.carlosviana@senado.leg.br";"PODEMOS";"MG";"Não";"Não";;;;"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5992";"Danilo Martins de Oliveira";;;;;;;;;;
"5990";"843";"Carlos Viana";"Carlos Alberto Dias Viana";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5990.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5990";"sen.carlosviana@senado.leg.br";"PODEMOS";"MG";"Não";"Não";;;;"353";"Bloco Parlamentar Independência";"BLIND";"2024-04-09";"563";"MG";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2892";"2019-02-01";;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";"sen.chicorodrigues@senado.leg.br";"PSB";"RR";"Sim";"Não";"33032281";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"6023";"Pedro Arthur";;;;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";"sen.chicorodrigues@senado.leg.br";"PSB";"RR";"Sim";"Não";"33032281";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"6024";"Onésimo Cruz";;;;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";"sen.chicorodrigues@senado.leg.br";"PSB";"RR";"Sim";"Não";"33032281";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2965";"2021-02-18";;;;;;;;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";"sen.chicorodrigues@senado.leg.br";"PSB";"RR";"Sim";"Não";"33032281";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2905";"2019-02-01";;;;"2020-10-20";"LP ";"Licença Particular";;
"470";"815";"Chico Rodrigues";"Francisco de Assis Rodrigues";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador470.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/470";"sen.chicorodrigues@senado.leg.br";"PSB";"RR";"Sim";"Não";"33032281";"1";"Não";"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"577";"RR";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;;;;;;;;;;
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";;;;;"33036460";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";;;;;"33036399";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5971";"Prisco Bezerra";;;;;;;;;"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"2º Suplente";"5972";"Julio Ventura";;;;;;;;;"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"3006";"2023-01-04";;;;;;;"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2953";"2020-04-11";;;;"2022-09-05";"LCS";"Licença com convocação de suplente (sup 120 dias)";"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;"2895";"2019-02-01";;;;"2019-12-11";"LP ";"Licença Particular";"https://cidgomes.com.br/";
"5973";"825";"Cid Gomes";"Cid Ferreira Gomes";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador5973.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/5973";"sen.cidgomes@senado.leg.br";"PSB";"CE";"Não";"Não";;;;"335";"Bloco Parlamentar da Resistência Democrática";"BLPRD";"2023-02-01";"556";"CE";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";;;;;;;;;;;;"https://cidgomes.com.br/";
"739";"811";"Ciro Nogueira";"Ciro Nogueira Lima Filho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/739";"sen.cironogueira@senado.leg.br";;;;;"33036187";"1";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"http://cironogueira.com.br";
"739";"811";"Ciro Nogueira";"Ciro Nogueira Lima Filho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/739";"sen.cironogueira@senado.leg.br";;;;;"33036188";"2";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"http://cironogueira.com.br";
"739";"811";"Ciro Nogueira";"Ciro Nogueira Lima Filho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/739";"sen.cironogueira@senado.leg.br";;;;;"33036183";"3";"Não";;;;;;;;;;;;;;;;;;;;;;;;;"http://cironogueira.com.br";
"739";"811";"Ciro Nogueira";"Ciro Nogueira Lima Filho";"Masculino";"Senador ";"http://www.senado.leg.br/senadores/img/fotos-oficiais/senador739.jpg";"http://www25.senado.leg.br/web/senadores/senador/-/perfil/739";"sen.cironogueira@senado.leg.br";"PP";"PI";"Não";"Sim";;;;"346";"Bloco Parlamentar Aliança";"BLALIANÇA";"2023-03-20";"524";"PI";"Titular";"56";"2019-02-01";"2023-01-31";"57";"2023-02-01";"2027-01-31";"1º Suplente";"5898";"Eliane Nogueira";;;;;;;;;"http://cironogueira.com.br";
